"","filename","ATTRIBUTE_Technical_Replicate","ATTRIBUTE_Biological_Replicate","ATTRIBUTE_Batch","ATTRIBUTE_Sample_Name","ATTRIBUTE_Sample_Type","ATTRIBUTE_OD_600nm","ATTRIBUTE_Supernatant_vol_mL","ATTRIBUTE_Metal_Growing_Condition","ATTRIBUTE_Gene_KO","ATTRIBUTE_Methanol_Percentage","ATTRIBUTE_Organism"
"1","4132_1A_80MeOH_NdCL3.mzML",1,1,"A","mxaF_4132_kan1_NdCL3","Sample",1.26,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"2","4132_2A_80MeOH_NdCL3.mzML",1,2,"A","mxaF_4132_kan2_NdCL3","Sample",1.18,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"3","4132_3A_80MeOH_NdCL3.mzML",1,3,"A","mxaF_4132_kan3_NdCL3","Sample",1.36,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"4","4132_4A_80MeOH_NdCL3.mzML",1,4,"A","mxaF_4132_kan4_NdCL3","Sample",1.3,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"5","4133_1A_80MeOH_NdCl3.mzML",1,1,"A","mxaF_4133_kan1_NdCL3","Sample",1.41,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"6","4133_2A_80MeOH_NdCl3.mzML",1,2,"A","mxaF_4133_kan2_NdCL3","Sample",1.25,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"7","4133_3A_80MeOH_NdCl3_.mzML",1,3,"A","mxaF_4133_kan3_NdCL3","Sample",1.32,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"8","4133_4A_80MeOH_NdCl3_.mzML",1,4,"A","mxaF_4133_kan4_NdCL3","Sample",1.43,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"9","4134_1A_80MeOH_NdCl3.mzML",1,1,"A","mxaF4134_1_NdCl3","Sample",0.91,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"10","4134_2A_80MeOH_NdCl3.mzML",1,2,"A","mxaF4134_2_NdCl3","Sample",0.92,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"11","4134_3A_80MeOH_NdCl3.mzML",1,3,"A","mxaF4134_3_NdCl3","Sample",1.25,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"12","4134_4A_80MeOH_NdCl3.mzML",1,4,"A","mxaF4134_4_NdCl3","Sample",1.36,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"13","4134_1A_80MeOH_Nd2O3.mzML",1,1,"A","mxaF4134_1_Nd2O3","Sample",1.08,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"14","4134_2A_80MeOH_Nd2O3.mzML",1,2,"A","mxaF4134_2_Nd2O3","Sample",0.85,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"15","4134_3A_80MeOH_Nd2O3.mzML",1,3,"A","mxaF4134_3_Nd2O3","Sample",0.9,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"16","4134_4A_80MeOH_Nd2O3.mzML",1,4,"A","mxaF4134_4_Nd2O3","Sample",0.85,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"17","4135_1A_80MeOH_Nd2O3.mzML",1,1,"A","mxaF4135_1_Nd2O3","Sample",0.84,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"18","4135_2A_80MeOH_Nd2O3.mzML",1,2,"A","mxaF4135_2_Nd2O3","Sample",1.04,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"19","4135_3A_80MeOH_Nd2O3.mzML",1,3,"A","mxaF4135_3_Nd2O3","Sample",0.88,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"20","4135_4A_80MeOH_Nd2O3.mzML",1,4,"A","mxaF4135_4_Nd2O3","Sample",1.15,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"21","4136_1A_80MeOH_Nd2O3_dil.mzML",1,1,"A","mxaF4136_1_Nd2O3","Sample",1.37,45,"2uM_Nd2O3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"22","4136_2A_80MeOH_Nd2O3_dil.mzML",1,2,"A","mxaF4136_2_Nd2O3","Sample",1.43,45,"2uM_Nd2O3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"23","4136_3A_80MeOH_Nd2O3_dil.mzML",1,3,"A","mxaF4136_3_Nd2O3","Sample",1.42,45,"2uM_Nd2O3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"24","4136_4A_80MeOH_Nd2O3_dil.mzML",1,4,"A","mxaF4136_4_Nd2O3","Sample",1.38,45,"2uM_Nd2O3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"25","HHM_Media_Blank_1B_1.mzML",1,1,"B","Media_Blank","Media_Blank",0,0,"None","None",80,"None"
"26","HHM_Media_Blank_1B_2.mzML",2,1,"B","Media_Blank","Media_Blank",0,0,"None","None",80,"None"
"27","4135_1B_80MeOH.mzML",1,1,"B","mxaF_4135_NdCl3","Sample",1.03,45,"2uM_NdCl3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"28","4135_2B_80MeOH.mzML",1,2,"B","mxaF_4135_NdCl3","Sample",1.1,45,"2uM_NdCl3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"29","4135_3B_80MeOH.mzML",1,3,"B","mxaF_4135_NdCl3","Sample",1.04,45,"2uM_NdCl3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"30","4135_4B_80MeOH.mzML",1,4,"B","mxaF_4135_NdCl3","Sample",0.91,45,"2uM_NdCl3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"31","4138_1B_80MeOH.mzML",1,1,"B","mxaF_4138_NdCl3","Sample",1.08,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"32","4138_2B_80MeOH.mzML",1,2,"B","mxaF_4138_NdCl3","Sample",1.23,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"33","4138_3B_80MeOH.mzML",1,3,"B","mxaF_4138_NdCl3","Sample",0.99,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"34","4138_4B_80MeOH.mzML",1,4,"B","mxaF_4138_NdCl3","Sample",1.04,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"35","mxaF_1B_80MeOH.mzML",1,1,"B","mxaF_NdCl3","Sample",1.04,45,"2uM_NdCl3","mxaF",80,"Methylorubrum_Extorquens_AM1"
"36","mxaF_2B_80MeOH.mzML",1,2,"B","mxaF_NdCl3","Sample",1.06,45,"2uM_NdCl3","mxaF",80,"Methylorubrum_Extorquens_AM1"
"37","mxaF_3B_80MeOH.mzML",1,3,"B","mxaF_NdCl3","Sample",1.11,45,"2uM_NdCl3","mxaF",80,"Methylorubrum_Extorquens_AM1"
"38","mxaF_4B_80MeOH.mzML",1,4,"B","mxaF_NdCl3","Sample",1.02,45,"2uM_NdCl3","mxaF",80,"Methylorubrum_Extorquens_AM1"
"39","4136_1C_80MeOH.mzML",1,1,"C","mxaF_4136_NdCl3","Sample",1.03,45,"2uM_NdCl3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"40","4136_2C_80MeOH.mzML",1,2,"C","mxaF_4136_NdCl3","Sample",0.84,45,"2uM_NdCl3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"41","4136_3C_80MeOH.mzML",1,3,"C","mxaF_4136_NdCl3","Sample",1.19,45,"2uM_NdCl3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"42","4136_4C_80MeOH.mzML",1,4,"C","mxaF_4136_NdCl3","Sample",0.85,45,"2uM_NdCl3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"43","4132_S1_1D_80MeOH.mzML",1,1,"D","mxaF_4132_kan_S1_Nd2O3","Sample",0.79,45,"1uM_Nd2O3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"44","4132_S2_2D_80MeOH.mzML",1,2,"D","mxaF_4132_kan_S2_Nd2O3","Sample",0.85,45,"1uM_Nd2O3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"45","4132_S3_3D_80MeOH.mzML",1,3,"D","mxaF_4132_kan_S3_Nd2O3","Sample",0.72,45,"1uM_Nd2O3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"46","4133_S4_1D_80MeOH.mzML",1,1,"D","mxaF_4133_kan_S4_Nd2O3","Sample",0.63,45,"1uM_Nd2O3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"47","4133_S5_2D_80MeOH.mzML",1,2,"D","mxaF_4133_kan_S5_Nd2O3","Sample",0.55,45,"1uM_Nd2O3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"48","4133_S6_3D_80MeOH.mzML",1,3,"D","mxaF_4133_kan_S6_Nd2O3","Sample",0.44,45,"1uM_Nd2O3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"49","4138_S7_1D_80MeOH_dil.mzML",1,1,"D","mxaF_4138_clean_S7_Nd2O3","Sample",1.28,45,"1uM_Nd2O3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"50","4138_S8_2D_80MeOH_dil.mzML",1,2,"D","mxaF_4138_clean_S8_Nd2O3","Sample",1.33,45,"1uM_Nd2O3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"51","4132_WT_S10_1D_80MeOH.mzML",1,1,"D","WT_4132_kan_S10_Nd2O3","Sample",0.97,45,"1uM_Nd2O3","WT_and_4132",80,"Methylorubrum_Extorquens_AM1"
"52","4132_WT_S11_2D_80MeOH.mzML",1,2,"D","WT_4132_kan_S11_Nd2O3","Sample",0.72,45,"1uM_Nd2O3","WT_and_4132",80,"Methylorubrum_Extorquens_AM1"
"53","4132_WT_S12_3D_80MeOH.mzML",1,3,"D","WT_4132_kan_S12_Nd2O3","Sample",0.77,45,"1uM_Nd2O3","WT_and_4132",80,"Methylorubrum_Extorquens_AM1"
"54","4133_WT_S13_1D_80MeOH.mzML",1,1,"D","WT_4133_kan_S13_Nd2O3","Sample",0.97,45,"1uM_Nd2O3","WT_and_4133",80,"Methylorubrum_Extorquens_AM1"
"55","4133_WT_S14_2D_80MeOH.mzML",1,2,"D","WT_4133_kan_S14_Nd2O3","Sample",1.19,45,"1uM_Nd2O3","WT_and_4133",80,"Methylorubrum_Extorquens_AM1"
"56","4133_WT_S15_3D_80MeOH.mzML",1,3,"D","WT_4133_kan_S15_Nd2O3","Sample",0.65,45,"1uM_Nd2O3","WT_and_4133",80,"Methylorubrum_Extorquens_AM1"
"57","4138_S16_1D_80MeOH_dil.mzML",1,1,"D","mxaF_4138_clean_S16_Nd2O3","Sample",1.28,45,"1uM_Nd2O3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"58","4138_S18_3D_80MeOH_dil.mzML",1,2,"D","mxaF_4138_clean_S18_Nd2O3","Sample",1.34,45,"1uM_Nd2O3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"59","4137_1E_80.mzML",1,1,"E","mxaF_4137_NdCl3","Sample",0.8,45,"2uM_NdCl3","mxaF_and_4137",80,"Methylorubrum_Extorquens_AM1"
"60","4137_2E_80.mzML",1,2,"E","mxaF_4137_NdCl3","Sample",0.84,45,"2uM_NdCl3","mxaF_and_4137",80,"Methylorubrum_Extorquens_AM1"
"61","4137_3E_80.mzML",1,3,"E","mxaF_4137_NdCl3","Sample",0.8,45,"2uM_NdCl3","mxaF_and_4137",80,"Methylorubrum_Extorquens_AM1"
"62","4137_4E_80.mzML",1,4,"E","mxaF_4137_NdCl3","Sample",0.75,45,"2uM_NdCl3","mxaF_and_4137",80,"Methylorubrum_Extorquens_AM1"
"63","4138_1E_80.mzML",1,1,"E","mxaF_4138_NdCl3","Sample",0.62,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"64","4138_2E_80.mzML",1,2,"E","mxaF_4138_NdCl3","Sample",0.8,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"65","4138_3E_80.mzML",1,3,"E","mxaF_4138_NdCl3","Sample",0.7,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"66","4138_4E_80.mzML",1,4,"E","mxaF_4138_NdCl3","Sample",0.72,45,"2uM_NdCl3","mxaF_and_4138",80,"Methylorubrum_Extorquens_AM1"
"67","5051_pellet_80_1.mzML",1,1,"F","5051_pellet","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
"68","5051_pellet_80_2.mzML",1,2,"F","5051_pellet","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
"69","5051_pellet_80_3.mzML",1,3,"F","5051_pellet","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
"70","5051_pellet_80_4.mzML",1,4,"F","5051_pellet","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
"71","5051_super_80_1.mzML",1,1,"F","5051_super","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
"72","5051_super_80_2.mzML",1,2,"F","5051_super","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
"73","5051_super_80_3.mzML",1,3,"F","5051_super","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
"74","5051_super_80_4.mzML",1,4,"F","5051_super","Sample",NA,45,"","mxaF_and_5051",80,"Methylorubrum_Extorquens_AM1"
